plot_id,soilvol_cm3,drysoil_g,bulkden_gcm3
St-1no,347.5,526,1.5136690647482014
St-3no,347.5,532,1.530935251798561
St-5no,347.5,512,1.4733812949640288
St-7no,347.5,498,1.4330935251798562
St-2cc,347.5,520,1.4964028776978417
St-4cc,347.5,482,1.3870503597122301
St-6cc,347.5,492,1.4158273381294963
St-8cc,347.5,504,1.4503597122302159
St-9no,347.5,518,1.4906474820143885
F-1cc,347.5,585.9,1.6860431654676258
F-6no,347.5,481.37,1.3852374100719425
F-5cc,347.5,557.06,1.60305035971223
F-2no,347.5,592.94,1.7063021582733815
F-4no,347.5,542.99,1.5625611510791366
F-3cc,347.5,567.68,1.6336115107913667
F-8cc,347.5,476.26,1.3705323741007194
F-7no,347.5,428.6,1.2333812949640288
B42-p22,347.5,466.12,1.3413525179856116
B42-p6,347.5,502.37,1.4456690647482016
B42-p5,347.5,451.99,1.3006906474820144
B42-p13,347.5,498.92,1.4357410071942447
B42-p14,347.5,486.45,1.3998561151079136
B42-p15,347.5,475.67,1.3688345323741007
B42-p12,347.5,510.75,1.4697841726618706
B42-p34,347.5,492.79,1.4181007194244606
B42-p26,347.5,444.17,1.2781870503597124
B42-p27,347.5,528.54,1.5209784172661869
B42-p2,347.5,480.4,1.3824460431654675
B42-p11,347.5,536.5,1.5438848920863308
B42-p16,347.5,486,1.3985611510791367
B42-p20,347.5,492.5,1.4172661870503598
B42-p7,347.5,509,1.4647482014388489
B42-p10,347.5,541.1,1.5571223021582734
B42-p21,347.5,484.1,1.3930935251798562
B42-p31,347.5,509.5,1.4661870503597123
B42-p18,347.5,500.2,1.4394244604316546
