11|"November"|"None"||"None"|||||||||||"20424629"|"213887577"
12|"December"|"None"||"None"|||||||||||"20424629"|"213887578"
3|"March"|"None"||"None"|||||||||||"20424629"|"213887579"
8|"August"|"None"||"None"|||||||||||"20424629"|"213887580"
4|"April"|"None"||"None"|||||||||||"20424629"|"213887581"
7|"July"|"None"||"None"|||||||||||"20424629"|"213887582"
5|"May"|"None"||"None"|||||||||||"20424629"|"213887583"
10|"October"|"None"||"None"|||||||||||"20424629"|"213887584"
1|"January"|"None"||"None"|||||||||||"20424629"|"213887585"
9|"September"|"None"||"None"|||||||||||"20424629"|"213887586"
2|"February"|"None"||"None"|||||||||||"20424629"|"213887587"
6|"June"|"None"||"None"|||||||||||"20424629"|"213887588"
9|"September"|"None"||"None"|||||||||||"20424630"|"213887589"
12|"December"|"None"||"None"|||||||||||"20424630"|"213887590"
3|"March"|"None"||"None"|||||||||||"20424630"|"213887591"
5|"May"|"None"||"None"|||||||||||"20424630"|"213887592"
8|"August"|"None"||"None"|||||||||||"20424630"|"213887593"
11|"November"|"None"||"None"|||||||||||"20424630"|"213887594"
10|"October"|"None"||"None"|||||||||||"20424630"|"213887595"
2|"February"|"None"||"None"|||||||||||"20424630"|"213887596"
1|"January"|"None"||"None"|||||||||||"20424630"|"213887597"
4|"April"|"None"||"None"|||||||||||"20424630"|"213887598"
7|"July"|"None"||"None"|||||||||||"20424630"|"213887599"
6|"June"|"None"||"None"|||||||||||"20424630"|"213887600"
11|"November"|"None"||"None"|||||||||||"20424631"|"213887601"
12|"December"|"None"||"None"|||||||||||"20424631"|"213887602"
3|"March"|"None"||"None"|||||||||||"20424631"|"213887603"
8|"August"|"None"||"None"|||||||||||"20424631"|"213887604"
4|"April"|"None"||"None"|||||||||||"20424631"|"213887605"
7|"July"|"None"||"None"|||||||||||"20424631"|"213887606"
5|"May"|"None"||"None"|||||||||||"20424631"|"213887607"
10|"October"|"None"||"None"|||||||||||"20424631"|"213887608"
1|"January"|"None"||"None"|||||||||||"20424631"|"213887609"
9|"September"|"None"||"None"|||||||||||"20424631"|"213887610"
2|"February"|"None"||"None"|||||||||||"20424631"|"213887611"
6|"June"|"None"||"None"|||||||||||"20424631"|"213887612"
1|"January"|"None"||"None"|||||||||||"20424654"|"213887877"
2|"February"|"None"||"None"|||||||||||"20424654"|"213887878"
3|"March"|"None"||"None"|||||||||||"20424654"|"213887879"
4|"April"|"None"||"None"|||||||||||"20424654"|"213887880"
5|"May"|"None"||"None"|||||||||||"20424654"|"213887881"
6|"June"|"None"||"None"|||||||||||"20424654"|"213887882"
7|"July"|"None"||"None"|||||||||||"20424654"|"213887883"
12|"December"|"None"||"None"|||||||||||"20424654"|"213887884"
8|"August"|"None"||"None"|||||||||||"20424654"|"213887885"
11|"November"|"None"||"None"|||||||||||"20424654"|"213887886"
9|"September"|"None"||"None"|||||||||||"20424654"|"213887887"
10|"October"|"None"||"None"|||||||||||"20424654"|"213887888"
11|"November"|"None"||"None"|||||||||||"20424655"|"213887889"
12|"December"|"None"||"None"|||||||||||"20424655"|"213887890"
3|"March"|"None"||"None"|||||||||||"20424655"|"213887891"
8|"August"|"None"||"None"|||||||||||"20424655"|"213887892"
4|"April"|"None"||"None"|||||||||||"20424655"|"213887893"
7|"July"|"None"||"None"|||||||||||"20424655"|"213887894"
5|"May"|"None"||"None"|||||||||||"20424655"|"213887895"
10|"October"|"None"||"None"|||||||||||"20424655"|"213887896"
1|"January"|"None"||"None"|||||||||||"20424655"|"213887897"
9|"September"|"None"||"None"|||||||||||"20424655"|"213887898"
2|"February"|"None"||"None"|||||||||||"20424655"|"213887899"
6|"June"|"None"||"None"|||||||||||"20424655"|"213887900"
4|"April"|"None"||"None"|||||||||||"20424656"|"213887901"
12|"December"|"None"||"None"|||||||||||"20424656"|"213887902"
1|"January"|"None"||"None"|||||||||||"20424656"|"213887903"
