plot_id,field_id,site_name,sys_trt,crop_trt,cc_trt,rep,plot
B42-p2,Central42,Central,silage,soy,no,1,2
B42-p11,Central42,Central,silage,soy,no,2,11
B42-p16,Central42,Central,silage,soy,no,3,16
B42-p20,Central42,Central,silage,soy,no,4,20
B42-p28,Central42,Central,silage,soy,no,5,28
B42-p7,Central42,Central,silage,soy,cc,1,7
B42-p10,Central42,Central,silage,soy,cc,2,10
B42-p18,Central42,Central,silage,soy,cc,3,18
B42-p21,Central42,Central,silage,soy,cc,4,21
B42-p31,Central42,Central,silage,soy,cc,5,31
B42-p6,Central42,Central,grain,soy,no,1,6
B42-p13,Central42,Central,grain,soy,no,2,13
B42-p15,Central42,Central,grain,soy,no,3,15
B42-p22,Central42,Central,grain,soy,no,4,22
B42-p26,Central42,Central,grain,soy,no,5,26
B42-p5,Central42,Central,grain,soy,cc,1,5
B42-p12,Central42,Central,grain,soy,cc,2,12
B42-p14,Central42,Central,grain,soy,cc,3,14
B42-p34,Central42,Central,grain,soy,cc,4,34
B42-p27,Central42,Central,grain,soy,cc,5,27
St-1no,East,East,grain,soy,no,1,1
St-3no,East,East,grain,soy,no,2,3
St-5no,East,East,grain,soy,no,3,5
St-7no,East,East,grain,soy,no,4,7
St-2cc,East,East,grain,soy,cc,1,2
St-4cc,East,East,grain,soy,cc,2,4
St-6cc,East,East,grain,soy,cc,3,6
St-8cc,East,East,grain,soy,cc,4,8
St-9no,East,East,grain,soy,no,5,9
F-2no,West,West,grain,corn,no,1,2
F-4no,West,West,grain,corn,no,2,4
F-6no,West,West,grain,corn,no,3,6
F-7no,West,West,grain,corn,no,4,7
F-1cc,West,West,grain,corn,cc,1,1
F-3cc,West,West,grain,corn,cc,2,3
F-5cc,West,West,grain,corn,cc,3,5
F-8cc,West,West,grain,corn,cc,4,8
